범례명,국내총생산,장기추세선
1960-Q1,7.5301,7.371354637
1960-Q2,7.8784,7.509716871
1960-Q3,7.7888,7.648178321
1960-Q4,7.8343,7.78706863
1961-Q1,8.0818,7.926805329
1961-Q2,8.4314,8.067835468
1961-Q3,8.2795,8.210702972
1961-Q4,8.3862,8.356178989
1962-Q1,8.5511,8.505077669
1962-Q2,8.3875,8.658231923
1962-Q3,8.6408,8.816503428
1962-Q4,8.9008,8.980584651
1963-Q1,9.4079,9.151058246
1963-Q2,9.1764,9.328457001
1963-Q3,9.4925,9.51347423
1963-Q4,9.5099,9.706708213
1964-Q1,10.0571,9.908744118
1964-Q2,9.7623,10.12004411
1964-Q3,10.4369,10.34116308
1964-Q4,10.8736,10.57243232
1965-Q1,10.988,10.81424296
1965-Q2,11.0023,11.06717437
1965-Q3,10.936,11.33191451
1965-Q4,11.2118,11.60911079
1966-Q1,11.8681,11.89916317
1966-Q2,12.6049,12.20222332
1966-Q3,12.4005,12.51842345
1966-Q4,12.5647,12.84814748
1967-Q1,12.9717,13.19170561
1967-Q2,13.2565,13.5492309
1967-Q3,13.823,13.92071888
1967-Q4,13.9113,14.30598215
1968-Q1,14.7508,14.70477222
1968-Q2,15.0118,15.11659394
1968-Q3,15.8319,15.5409809
1968-Q4,15.5035,15.97740122
1969-Q1,16.2665,16.42550483
1969-Q2,16.8834,16.88464548
1969-Q3,18.2963,17.35407754
1969-Q4,18.5662,17.83305459
1970-Q1,18.2545,18.32141912
1970-Q2,19.0637,18.81947182
1970-Q3,19.2138,19.32747156
1970-Q4,20.5987,19.84582985
1971-Q1,20.7399,20.37488717
1971-Q2,21.4855,20.91545451
1971-Q3,21.5254,21.46857104
1971-Q4,21.5954,22.03563216
1972-Q1,22.0039,22.61806883
1972-Q2,22.6793,23.21703684
1972-Q3,23.0121,23.83330812
1972-Q4,23.9126,24.46731855
1973-Q1,24.8631,25.11899071
1973-Q2,25.8994,25.7879005
1973-Q3,27.1243,26.47346391
1973-Q4,27.4392,27.17516657
1974-Q1,28.8458,27.89290093
1974-Q2,28.6634,28.62672443
1974-Q3,29.0424,29.37729009
1974-Q4,28.9371,30.14527383
1975-Q1,29.5333,30.93114229
1975-Q2,30.78,31.73460699
1975-Q3,31.6605,32.55450579
1975-Q4,32.6749,33.38907993
1976-Q1,33.7098,34.23601191
1976-Q2,35.1748,35.09253783
1976-Q3,35.9429,35.95556494
1976-Q4,36.3536,36.8220519
1977-Q1,36.7538,37.68894944
1977-Q2,38.5665,38.55291551
1977-Q3,40.9257,39.41002361
1977-Q4,42.4095,40.25635572
1978-Q1,42.1494,41.08894111
1978-Q2,43.4338,41.90615476
1978-Q3,44.2855,42.70703446
1978-Q4,46.3492,43.49157276
1979-Q1,48.5412,44.26074877
1979-Q2,48.8491,45.01732759
1979-Q3,47.467,45.76674961
1979-Q4,46.7565,46.5168501
1980-Q1,47.272,47.27652696
1980-Q2,46.9627,48.05482789
1980-Q3,47.827,48.86079774
1980-Q4,46.6314,49.7027988
1981-Q1,48.571,50.58854722
1981-Q2,49.7118,51.52383954
1981-Q3,51.7156,52.51321134
1981-Q4,52.6652,53.56006564
1982-Q1,53.0512,54.66730698
1982-Q2,54.1946,55.83728062
1982-Q3,55.2989,57.07132172
1982-Q4,57.281,58.36973879
1983-Q1,59.7067,59.73173257
1983-Q2,61.4145,61.15582333
1983-Q3,63.7735,62.6405157
1983-Q4,64.5344,64.184476
1984-Q1,67.1425,65.78707863
1984-Q2,68.657,67.44791672
1984-Q3,69.8098,69.16743054
1984-Q4,70.3507,70.94681601
1985-Q1,72.0789,72.78767056
1985-Q2,73.8077,74.69121903
1985-Q3,74.8022,76.65824329
1985-Q4,77.1791,78.688973
1986-Q1,78.4189,80.78247779
1986-Q2,81.6547,82.93688365
1986-Q3,85.3815,85.14883929
1986-Q4,86.6765,87.41419208
1987-Q1,89.1768,89.72893481
1987-Q2,93.9984,92.08859919
1987-Q3,95.056,94.48837186
1987-Q4,96.7195,96.92463308
1988-Q1,104.0304,99.39411789
1988-Q2,102.1504,101.8934331
1988-Q3,105.6166,104.4220832
1988-Q4,108.6468,106.9797334
1989-Q1,108.6174,109.5667952
1989-Q2,110.4393,112.1847223
1989-Q3,113.5881,114.8343748
1989-Q4,117.9242,117.5155223
1990-Q1,119.1596,120.2271549
1990-Q2,121.8458,122.9685186
1990-Q3,126.1637,125.738192
1990-Q4,128.5692,128.534052
1991-Q1,133.2731,131.3542415
1991-Q2,135.5445,134.1969252
1991-Q3,138.631,137.0614673
1991-Q4,142.201,139.9480742
1992-Q1,144.6616,142.857933
1992-Q2,145.7507,145.7936393
1992-Q3,145.9261,148.7589157
1992-Q4,148.2227,151.7574579
1993-Q1,151.302,154.7911914
1993-Q2,155.1208,157.8598322
1993-Q3,157.9583,160.9609158
1993-Q4,161.0684,164.0902654
1994-Q1,165.8507,167.2418281
1994-Q2,168.6124,170.4076619
1994-Q3,171.3308,173.5789556
1994-Q4,178.2717,176.7457757
1995-Q1,182.2094,179.896784
1995-Q2,185.6836,183.0215956
1995-Q3,189.5891,186.1112712
1995-Q4,193.1834,189.1585353
1996-Q1,197.0634,192.1582858
1996-Q2,200.8586,195.1079364
1996-Q3,204.5659,198.0079664
1996-Q4,208.1589,200.8624491
1997-Q1,209.1635,203.6795569
1997-Q2,216.5038,206.472022
1997-Q3,218.6213,209.2560045
1997-Q4,217.2847,212.0539341
1998-Q1,202.6959,214.8940939
1998-Q2,201.1143,217.8080362
1998-Q3,205.0498,220.8196894
1998-Q4,210.1609,223.9425484
1999-Q1,216.688,227.1802518
1999-Q2,226.0885,230.5278248
1999-Q3,232.5826,233.9737349
1999-Q4,238.8095,237.503675
2000-Q1,243.5731,241.1024685
2000-Q2,247.3259,244.755755
2000-Q3,254.1172,248.4507183
2000-Q4,253.273,252.1761484
2001-Q1,255.8208,255.924377
2001-Q2,259.6783,259.6884211
2001-Q3,262.9856,263.4612333
2001-Q4,266.9829,267.2357595
2002-Q1,274.4199,271.0046488
2002-Q2,279.6437,274.7603917
2002-Q3,284.8375,278.4976137
2002-Q4,287.5275,282.2139921
2003-Q1,285.9825,285.9111667
2003-Q2,286.1716,289.5940984
2003-Q3,290.7477,293.2677924
2003-Q4,298.1614,296.935115
2004-Q1,302.4043,300.5973575
2004-Q2,304.9261,304.2565775
2004-Q3,305.7062,307.9159619
2004-Q4,308.2119,311.5791163
2005-Q1,311.0971,315.2482649
2005-Q2,316.9301,318.9235276
2005-Q3,321.3793,322.6024298
2005-Q4,325.0669,326.2812509
2006-Q1,330.2344,329.9555058
2006-Q2,332.6178,333.6199507
2006-Q3,337.8308,337.2695159
2006-Q4,340.6365,340.8985054
2007-Q1,346.675,344.5015739
2007-Q2,352.5436,348.0732125
2007-Q3,356.7182,351.6092708
2007-Q4,363.7423,355.108392
2008-Q1,366.4848,358.5724127
2008-Q2,367.8188,362.0085656
2008-Q3,370.2601,365.4290287
2008-Q4,357.7682,368.8496113
2009-Q1,358.7117,372.2891421
2009-Q2,363.561,375.7595241
2009-Q3,374.652,379.2641741
2009-Q4,377.3963,382.7988852
2010-Q1,386.2385,386.3565677
2010-Q2,392.479,389.9267551
2010-Q3,396.4696,393.4989073
2010-Q4,402.066,397.0640795
2011-Q1,405.9048,400.6151833
2011-Q2,407.6667,404.1482567
2011-Q3,409.5523,407.6626435
2011-Q4,412.2989,411.1598868
2012-Q1,416.2407,414.6427105
2012-Q2,417.998,418.1145505
2012-Q3,419.8616,421.5798414
2012-Q4,422.9875,425.042945
2013-Q1,426.3424,428.5071493
2013-Q2,431.1601,431.9744573
2013-Q3,435.4847,435.4455194
2013-Q4,439.3003,438.9204768
2014-Q1,442.6699,442.3994953
2014-Q2,446.8724,445.882978
2014-Q3,448.0235,449.3714972
2014-Q4,450.4092,452.8662434
2015-Q1,454.3028,456.3675646
2015-Q2,456.2566,459.8742732
2015-Q3,463.0255,463.3838912
2015-Q4,466.604,466.8916793
2016-Q1,468.3898,470.3926746
2016-Q2,474.2629,473.881734
2016-Q3,476.11,477.352463
2016-Q4,479.7884,480.7987049
2017-Q1,485.1586,484.2135267
2017-Q2,488.7381,487.589364
2017-Q3,495.4814,490.9192431
2017-Q4,494.3539,494.196908
2018-Q1,501.537,497.4189542
2018-Q2,505.4729,500.5820755
2018-Q3,508.102,503.6855392
2018-Q4,510.9904,506.7316694
2019-Q1,511.2866,509.7255507
2019-Q2,518.0833,512.6749293
2019-Q3,519.1968,515.5885269
2019-Q4,524.4157,518.4784456
2020-Q1,517.6696,521.3590426
2020-Q2,503.4846,524.248386
2020-Q3,514.6058,527.1622378
2020-Q4,522.7066,530.1033829
2021-Q1,530.7711,533.0667582
2021-Q2,537.9038,536.0426776
2021-Q3,538.0857,539.0200204
2021-Q4,546.6622,541.9888289
2022-Q1,549.3037,544.9385616
2022-Q2,553.6848,547.8615979
2022-Q3,555.8415,550.7530452
2022-Q4,553.3289,553.6116505
2023-Q1,555.7611,556.4393412
2023-Q2,558.8259,559.2378678
2023-Q3,563.0357,562.008557
2023-Q4,565.5976,564.752478
2024-Q1,572.951,567.471342
2024-Q2,571.6467,570.1673883
2024-Q3,572.216,572.8462812
2024-Q4,572.5949,575.5146092
2025-Q1,571.1866,578.1785673